date,symbol,equity,last_equity,cash,buying_power,daily_pl,daily_pl_pct
2026-04-16,TSLA,100725.28,100377.28,100749.28,30249.28,348.0,0.0034669200042081235
2026-04-16,TSLA,100721.28,100725.28,100749.28,30249.28,-4.0,-3.971197697340727e-05
2026-04-16,TSLA,100737.28,100725.28,100749.28,30249.28,12.0,0.00011913593092022181
2026-04-17,TSLA,100743.28,100725.28,100749.28,30249.28,18.0,0.00017870389638033273
2026-04-17,TSLA,100743.28,100745.28,100749.28,30249.28,-2.0,-1.985204666660314e-05
2026-04-18,TSLA,100747.24,100745.28,100747.24,100747.24,1.9600000000064028,1.9455005733334634e-05
2026-04-18,TSLA,100747.24,100745.28,100747.24,100747.24,1.9600000000064028,1.9455005733334634e-05
2026-04-20,TSLA,100747.18,100747.18,100747.18,100747.18,0.0,0.0
2026-04-26,QCOM,101058.97,101058.97,101058.97,101058.97,0.0,0.0
2026-04-28,QCOM,101156.95,101058.97,101275.95,67025.95,97.97999999999593,0.000969532937056413
2026-04-28,QCOM,101156.95,101058.97,101275.95,67025.95,97.97999999999593,0.000969532937056413
2026-04-29,QCOM,101216.87,101162.91,101415.87,65415.87,53.95999999999185,0.0005333970721086597
2026-04-29,QCOM,101216.87,101162.91,101415.87,65415.87,53.95999999999185,0.0005333970721086597
2026-05-09,AVGO,101486.53,101486.53,101486.53,101486.53,0.0,0.0
2026-05-18,AVGO,101693.4,101678.42,101988.4,62238.4,14.979999999995925,0.00014732723030113888
2026-05-19,AVGO,101568.36,101724.36,101988.36,62238.36,-156.0,-0.0015335559742032292
2026-05-20,AVGO,101734.32,101608.36,102079.32,61579.32,125.9600000000064,0.001239661775861813
2026-05-21,AVGO,101894.21,101764.25,102146.21,62146.21,129.9600000000064,0.001277069304790301
2026-05-22,AVGO,101985.14,101938.14,102146.14,62146.14,47.0,0.00046106393544163154
2026-05-25,AVGO,101985.14,102038.14,102146.14,62146.14,-53.0,-0.0005194136231805088
2026-05-26,AVGO,102145.14,102038.14,102146.14,62146.14,107.0,0.0010486275034021593
2026-05-27,AVGO,101851.12,102146.14,102531.12,61031.12,-295.0200000000041,-0.0028882148654859018
2026-05-28,AVGO,102211.08,102031.08,102531.08,61031.08,180.0,0.0017641683298853642
2026-05-29,AVGO,102431.06,102236.08,102431.06,102431.06,194.97999999999593,0.0019071544996638753
2026-06-01,GM,102356.89,102431.03,102723.89,11673.89,-74.13999999999942,-0.0007238041050646412
2026-06-02,GM,102094.68,102405.68,102723.68,11673.68,-311.0,-0.0030369409196833617
2026-06-03,GM,101066.68,102163.68,102723.68,11673.68,-1097.0,-0.01073767115671636
2026-06-04,GM,101282.66,101129.68,58672.66,11872.66,152.98000000001048,0.0015127112040699672
2026-06-05,GM,98783.47,101371.61,57333.47,57333.47,-2588.1399999999994,-0.025531211351975166
2026-06-08,XOM,98510.27,99000.27,57333.27,57333.27,-490.0,-0.004949481450909174
2026-06-09,XOM,97674.27,98507.27,57333.27,57333.27,-833.0,-0.008456228662107882
2026-06-10,XOM,96964.27,97674.27,57333.27,57333.27,-710.0,-0.007269058678401179
2026-06-11,XOM,96491.27,97069.27,57333.27,57333.27,-578.0,-0.005954510629368079
2026-06-12,XOM,96407.27,96367.27,57333.27,57333.27,40.0,0.0004150786880234337
2026-06-15,BAC,97281.5,96407.27,57354.25,51854.25,874.2299999999959,0.009068092064011312
2026-06-16,BAC,96694.16,97308.2,57370.16,51770.16,-614.0399999999936,-0.006310259567025118
2026-06-17,BAC,95315.08,96738.08,57370.08,51770.08,-1423.0,-0.014709822646883213
2026-06-18,AVGO,95366.06,95241.08,57366.06,57366.06,124.97999999999593,0.0013122488741202424
2026-06-22,BAC,94110.0,95306.02,57393.0,51793.0,-1196.020000000004,-0.012549259742459124
2026-06-23,BAC,94812.93,94106.95,57381.93,57381.93,705.9799999999959,0.007501890136700807
2026-06-24,BAC,93967.87,94775.89,57398.87,51698.87,-808.0200000000041,-0.008525585990276684
