entry_date,entry_time,exit_date,exit_time,underlying,sector,contract,opt_type,strike,expiry,dte_at_entry,duration_days,qty,entry_price,exit_price,exit_type,collateral,premium_collected,premium_paid,net_pnl,pnl_pct,annualized_return,is_win,entry_order_id,exit_order_id
2026-04-10,2026-04-10T15:29:57.769104+00:00,2026-04-13,2026-04-13T16:00:00-04:00,TSLA,ev_musk,TSLA260413P00337500,Put,337.5,2026-04-13,3,2,2,1.35,0.0,expired,67500.0,270.0,0.0,270.0,1.0,0.73,1,b45f01ed-8d31-49dc-8185-619727a10bf5,
2026-04-14,2026-04-14T14:46:06.567899+00:00,2026-04-17,2026-04-17T14:15:55.990375+00:00,TSLA,ev_musk,TSLA260417P00352500,Put,352.5,2026-04-17,3,2,2,2.38,0.01,BTC,70500.0,476.0,2.0,474.0,0.9957983193277312,1.2270212765957447,1,46184a89-08af-4438-895c-4e859d78fe52,5e2c5783-d257-4d26-8f42-5c4557d09529
2026-04-20,2026-04-20T16:38:47.216731+00:00,2026-04-24,2026-04-24T16:00:00-04:00,QCOM,cpu,QCOM260424P00134000,Put,134.0,2026-04-24,4,3,4,0.78,0.0,expired,53600.0,312.0,0.0,312.0,1.0,0.7082089552238806,1,213e18d9-5516-4927-a411-d2b8cca96d76,
2026-04-27,2026-04-27T14:54:03.667762+00:00,2026-04-28,2026-04-28T15:15:52.219532+00:00,UNH,defensive,UNH260501P00342500,Put,342.5,2026-05-01,4,1,1,2.17,0.44,BTC,34250.0,217.0,44.0,173.0,0.7972350230414746,1.8436496350364964,1,aa1d5cff-0787-40c4-ba7a-cb745fbdf777,b48d4175-26e0-4f51-ba4a-6f386157acf0
2026-04-28,2026-04-28T17:04:01.566049+00:00,2026-04-29,2026-04-29T19:48:56.422735+00:00,UNH,defensive,UNH260501P00360000,Put,360.0,2026-05-01,3,1,1,1.84,0.82,BTC,36000.0,184.0,82.0,102.0,0.5543478260869565,1.0341666666666667,1,56e61368-5e49-4ada-8c6e-520dbfb53068,36a9722b-0409-42b2-8939-7b02414fd962
2026-04-30,2026-04-30T15:05:13.692431+00:00,2026-05-01,2026-05-01T14:13:05.590298+00:00,UNH,defensive,UNH260501P00362500,Put,362.5,2026-05-01,1,0,1,0.84,0.23,BTC,36250.0,84.0,23.0,61.0,0.7261904761904762,0.6142068965517241,1,b38bd9e3-7550-40ca-992e-e9c38cd17253,9bc9e19a-f430-4108-adaa-48e3e53c0235
2026-05-01,2026-05-01T17:11:07.040924+00:00,2026-05-04,2026-05-04T16:53:45.410127+00:00,TSLA,ev_musk,TSLA260504P00387500,Put,387.5,2026-05-04,3,2,1,1.76,0.84,BTC,38750.0,176.0,84.0,92.0,0.5227272727272727,0.43329032258064515,1,c637f0f5-325b-4c89-b883-7f18e417e869,e6f966d1-ed9a-4b56-a33b-14cffc4cb433
2026-05-12,2026-05-12T15:20:26.609996+00:00,2026-05-14,2026-05-14T13:41:16.570350+00:00,AVGO,ai_hardware,AVGO260515P00402500,Put,402.5,2026-05-15,3,1,1,2.58,0.66,BTC,40250.0,258.0,66.0,192.0,0.7441860465116279,1.7411180124223602,1,95ce5195-70df-4283-ba94-89a333a16aff,60ef182c-1cf0-4d73-a602-f2ba40572b8d
2026-05-18,2026-05-18T13:50:03.782395+00:00,2026-05-20,2026-05-20T15:16:57.590311+00:00,AVGO,ai_hardware,AVGO260522P00397500,Put,397.5,2026-05-22,4,2,1,3.1,1.54,BTC,39750.0,310.0,154.0,156.0,0.5032258064516129,0.7162264150943396,1,619a1fa2-3b61-4035-a3d7-881dbb246ab0,a53079d1-e807-4a00-b5bd-9b6941588466
2026-05-20,2026-05-20T15:34:49.635054+00:00,2026-05-21,2026-05-21T15:48:55.861591+00:00,AVGO,ai_hardware,AVGO260522P00405000,Put,405.0,2026-05-22,2,1,1,2.45,1.12,BTC,40500.0,245.00000000000003,112.00000000000001,133.0,0.5428571428571428,1.198641975308642,1,7592ec00-8c32-4a38-ab96-bbf9dcaf2745,81c3d084-33ad-47c4-bb60-378e19cc86b5
2026-05-21,2026-05-21T16:47:41.799825+00:00,2026-05-26,2026-05-26T16:00:00-04:00,AVGO,ai_hardware,AVGO260526P00400000,Put,400.0,2026-05-26,5,4,1,1.79,0.0,expired,40000.0,179.0,0.0,179.0,1.0,0.40834375,1,60bc87fc-9cdd-4b77-a139-69b9a9ebb7f9,
2026-05-27,2026-05-27T13:38:16.116386+00:00,2026-05-29,2026-05-29T13:41:12.368502+00:00,AVGO,ai_hardware,AVGO260601P00415000,Put,415.0,2026-06-01,5,2,1,3.85,1.0,BTC,41500.0,385.0,100.0,285.0,0.7402597402597403,1.253313253012048,1,e42d9962-0a0e-4094-963f-6afec5c7c6c8,81f6a5e4-e4f6-4a9a-99b1-11becb3d586c
